0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
2,1,0,0,0,0,0
3,2,0,0,0,0,0
4,2,1,0,0,0,0
4,3,2,0,0,0,0
5,4,2,1,0,0,0
6,4,3,2,0,0,0
6,5,4,2,1,0,0
7,6,4,3,2,0,0
8,6,5,4,2,1,0
8,7,6,4,3,2,0
9,8,6,5,4,2,1
9,8,7,6,4,3,2
9,9,8,6,5,4,2
9,9,8,7,6,4,3
9,9,9,8,6,5,4
9,9,9,8,7,6,4
9,9,9,9,8,6,5
9,9,9,9,8,7,6
9,9,9,9,8,8,6
9,9,9,9,9,8,7
9,9,9,9,9,8,8
9,9,9,9,9,8,8
9,9,9,9,9,9,8
9,9,9,9,9,9,8
9,9,9,9,9,9,8
9,9,9,9,9,9,9
